PIN,Address,Sq. Ft.,Ward,Community Area Name,Zoning Classification,Location
20-16-409-015-0000,315 W 60TH PL,0,20,ENGLEWOOD,RS-3,"(41.78422879, -87.63338701)"
20-20-416-026-0000,6930 S MAY ST,0,6,ENGLEWOOD,RS-3,"(41.76768829, -87.65332493)"
20-16-314-016-0000,407 W 60TH PL,0,20,ENGLEWOOD,RS-3,"(41.78417158, -87.6355243)"
20-16-216-018-0000,315 W 58TH ST,0,20,ENGLEWOOD,RS-3,"(41.78855816, -87.63351577)"
20-17-426-012-0000,6233 S ABERDEEN ST,0,16,ENGLEWOOD,RS-3,"(41.78050015, -87.65174961)"
20-20-419-002-0000,1023 W 69TH ST,0,6,ENGLEWOOD,RS-3,"(41.76850914, -87.65031866)"
20-17-217-047-0000,5754 S ABERDEEN ST,0,16,ENGLEWOOD,RS-3,"(41.78896111, -87.65266428)"
20-20-218-007-0000,6515 S ABERDEEN ST,0,6,ENGLEWOOD,RS-3,"(41.77552175, -87.65181833)"
20-17-406-011-0000,5929 S PEORIA ST,6256,16,ENGLEWOOD,RS-3,"(41.78615228, -87.64702708)"
20-17-402-009-0000,1039 W 59TH ST,0,16,ENGLEWOOD,B3-1,"(41.78667173, -87.65135771)"
20-16-305-032-0000,5926 S EGGLESTON AVE,0,20,ENGLEWOOD,RS-3,"(41.78630835, -87.63678323)"
20-28-107-031-0000,7136 S STEWART AVE,0,6,ENGLEWOOD,RT-4,"(41.76421195, -87.63500811)"
20-28-107-022-0000,7159 S EGGLESTON AVE,0,6,ENGLEWOOD,RT-4,"(41.7636573, -87.63550272)"
20-16-321-043-0000,649 W 62ND ST,0,16,ENGLEWOOD,RS-3,"(41.7813526, -87.64182859)"
20-21-302-032-0000,6742 S LOWE AVE,0,6,ENGLEWOOD,RT-4,"(41.77128537, -87.64066021)"
20-29-216-006-0000,7317 S RACINE AVE,0,17,ENGLEWOOD,B1-1,"(41.76088773, -87.65366207)"
20-16-201-063-0000,5560 S PRINCETON AVE,3153,3,ENGLEWOOD,RS-3,"(41.79275614, -87.63330345)"
20-20-217-014-0000,6533 S MAY ST,0,16,ENGLEWOOD,RS-3,"(41.77497767, -87.65281863)"
20-20-224-035-0000,1148 W MARQUETTE RD,0,16,ENGLEWOOD,B3-1,"(41.77259984, -87.65386773)"
20-20-426-021-0000,1033 W 70TH ST,0,6,ENGLEWOOD,RS-3,"(41.76676838, -87.65087586)"
20-21-208-012-0000,6500 S HARVARD AVE,0,20,ENGLEWOOD,RT-4,"(41.77641536, -87.63365141)"
20-17-407-034-0000,810 W 60TH ST,0,16,ENGLEWOOD,B2-2,"(41.78530675, -87.64544039)"
20-21-110-019-0000,627 W 64TH ST,0,20,ENGLEWOOD,PD 74,"(41.778226, -87.6423638)"
20-20-231-028-0000,6630 S HALSTED ST,0,6,ENGLEWOOD,B3-2,"(41.77334123, -87.64499648)"
20-16-300-080-0000,5932 S UNION AVE,0,20,ENGLEWOOD,RS-3,"(41.78604854, -87.64288231)"
20-20-407-039-0000,6746 S HALSTED ST,0,6,ENGLEWOOD,B3-2,"(41.77110085, -87.64493029)"
20-16-100-024-0000,5625 S HALSTED ST,0,20,ENGLEWOOD,C1-2,"(41.79169271, -87.64472422)"
20-16-218-039-0000,5766 S LA SALLE ST,0,20,ENGLEWOOD,RS-3,"(41.78901014, -87.62950061)"
20-17-202-021-0000,5518 S CARPENTER ST,0,16,ENGLEWOOD,RS-3,"(41.79320797, -87.6515621)"
20-17-415-019-0000,6008 S HALSTED ST,0,16,ENGLEWOOD,PD 1206,"(41.78486518, -87.64528022)"
20-20-219-043-0000,6556 S MORGAN ST,0,6,ENGLEWOOD,RS-3,"(41.77440065, -87.64985645)"
20-17-224-020-0000,5840 S MAY ST,0,16,ENGLEWOOD,M1-1,"(41.78747976, -87.65383917)"
20-28-105-023-0000,7130 S NORMAL BLVD,0,6,ENGLEWOOD,RT-4,"(41.76437876, -87.63742999)"
20-17-403-005-0000,1009 W 59TH ST,0,16,ENGLEWOOD,B3-1,"(41.7866895, -87.65029164)"
20-21-319-035-0000,6952 S EGGLESTON AVE,0,6,ENGLEWOOD,RT-4,"(41.76740516, -87.63633718)"
20-17-425-033-0000,6242 S ABERDEEN ST,0,16,ENGLEWOOD,RS-3,"(41.7801828, -87.65223193)"
20-16-300-040-0000,740 W 60TH ST,0,16,ENGLEWOOD,B2-2,"(41.78534646, -87.64419541)"
20-21-317-007-0000,6918 S PARNELL AVE,0,6,ENGLEWOOD,RT-4,"(41.76832622, -87.63878617)"
20-17-423-041-0000,6151 S HALSTED ST,0,16,ENGLEWOOD,PD 560,"(41.78283455, -87.64529819)"
20-17-427-032-0000,6238 S MORGAN ST,0,16,ENGLEWOOD,RS-3,"(41.78032158, -87.65001056)"
20-16-127-014-0000,426 W 59TH ST,0,20,ENGLEWOOD,RS-3,"(41.78744031, -87.63650873)"
20-16-116-035-0000,425 W 57TH ST,0,20,ENGLEWOOD,RS-3,"(41.79050395, -87.63950821)"
20-17-418-025-0000,6153 S ABERDEEN ST,0,16,ENGLEWOOD,RS-3,"(41.78170752, -87.65178075)"
20-17-411-010-0000,6023 S CARPENTER ST,0,16,ENGLEWOOD,RS-3,"(41.78437848, -87.65063451)"
20-21-301-014-0000,6747 S EMERALD AVE,0,6,ENGLEWOOD,RT-4,"(41.77109706, -87.64280433)"
20-16-402-009-0000,327 W 59TH PL,0,20,ENGLEWOOD,RS-3,"(41.78604207, -87.63390023)"
20-21-315-025-0000,637 W 69TH ST,0,6,ENGLEWOOD,B3-2,"(41.76870728, -87.64118488)"
20-20-227-022-0000,6610 S MORGAN ST,0,6,ENGLEWOOD,RS-3,"(41.77380414, -87.64984119)"
20-16-109-012-0000,425 W TREMONT ST,0,20,ENGLEWOOD,RS-3,"(41.7919008, -87.63654047)"
20-17-221-014-0000,5743 S SANGAMON ST,0,16,ENGLEWOOD,RS-3,"(41.78936772, -87.64832172)"
20-21-102-006-0000,657 W 63RD ST,0,20,ENGLEWOOD,PD 74,"(41.77952536, -87.64221065)"
20-16-314-011-0000,423 W 60TH PL,0,20,ENGLEWOOD,RS-3,"(41.78416169, -87.63614099)"
20-17-414-012-0000,6029 S PEORIA ST,0,16,ENGLEWOOD,RS-3,"(41.78429677, -87.64697901)"
20-21-121-012-0000,434 W 65TH PL,0,20,ENGLEWOOD,RT-4,"(41.77555441, -87.63636318)"
20-16-107-012-0000,431 W 56TH ST,0,20,ENGLEWOOD,RS-3,"(41.79281653, -87.63674545)"
20-16-404-020-0000,5902 S LA SALLE ST,0,20,ENGLEWOOD,RS-3,"(41.78707816, -87.62944576)"
20-17-414-031-0000,6024 S GREEN ST,0,16,ENGLEWOOD,PD 1206,"(41.78443774, -87.64646929)"
20-16-102-029-0000,5541 S UNION AVE,0,20,ENGLEWOOD,RS-3,"(41.79235329, -87.64232318)"
20-16-420-004-0000,6213 S PRINCETON AVE,0,20,ENGLEWOOD,RS-3,"(41.7811842, -87.63250283)"
20-17-229-027-0000,5842 S PEORIA ST,0,16,ENGLEWOOD,RS-3,"(41.78756497, -87.64776113)"
20-16-321-080-0000,636 W ENGLEWOOD AVE,3114,16,ENGLEWOOD,RS-3,"(41.78097294, -87.64145998)"
20-16-126-012-0000,538 W 59TH ST,0,20,ENGLEWOOD,B3-1,"(41.78739411, -87.6392409)"
20-28-300-028-0000,7544 S EMERALD AVE,0,6,ENGLEWOOD,RS-3,"(41.75656331, -87.64335785)"
20-17-411-043-0000,6054 S MORGAN ST,0,16,ENGLEWOOD,RS-3,"(41.78355362, -87.65008835)"
20-29-212-018-0000,7243 S MORGAN ST,0,6,ENGLEWOOD,RS-3,"(41.76202261, -87.64883661)"
20-21-315-008-0000,6915 S UNION AVE,0,6,ENGLEWOOD,RS-3,"(41.76833109, -87.64168831)"
20-16-409-013-0000,321 W 60TH PL,0,20,ENGLEWOOD,RS-3,"(41.78422443, -87.63366192)"
20-16-315-092-0000,751 W 61ST ST,0,16,ENGLEWOOD,B2-2,"(41.78313315, -87.64417014)"
20-21-400-002-0000,6705 S STEWART AVE,0,6,ENGLEWOOD,RT-4,"(41.77245212, -87.63470251)"
20-21-113-016-0000,6447 S NORMAL BLVD,0,20,ENGLEWOOD,RT-4,"(41.77668928, -87.637088)"
20-16-219-033-0000,5849 S LA SALLE ST,0,20,ENGLEWOOD,RS-3,"(41.78751868, -87.62874341)"
20-16-302-035-0000,617 W 59TH ST,0,20,ENGLEWOOD,M1-2,"(41.78676952, -87.6409252)"
20-17-404-007-0000,941 W 59TH ST,0,16,ENGLEWOOD,B3-1,"(41.78670988, -87.64900392)"
20-17-410-016-0000,6043 S ABERDEEN ST,0,16,ENGLEWOOD,RS-3,"(41.78382412, -87.65203154)"
20-17-426-001-0000,6201 S ABERDEEN ST,0,16,ENGLEWOOD,RS-3,"(41.78131698, -87.65177068)"
20-17-405-043-0000,5950 S PEORIA ST,0,16,ENGLEWOOD,RS-3,"(41.78549468, -87.64771038)"
20-20-208-025-0000,6402 S MAY ST,3132,16,ENGLEWOOD,RS-3,"(41.77761049, -87.65358763)"
20-16-116-015-0000,5700 S NORMAL BLVD,0,20,ENGLEWOOD,RS-3,"(41.79063227, -87.63805049)"
20-16-320-025-0000,6144 S STEWART AVE,0,20,ENGLEWOOD,RS-3,"(41.782171, -87.63545503)"
20-21-103-005-0000,502 W 63RD PL,0,20,ENGLEWOOD,PD 280,"(41.7786122, -87.64228853)"
20-29-215-042-0000,7250 S HALSTED ST,0,6,ENGLEWOOD,B1-2,"(41.76188329, -87.64469959)"
20-20-226-015-0000,6635 S ABERDEEN ST,3125,6,ENGLEWOOD,RS-3,"(41.77309093, -87.65155648)"
20-16-100-010-0000,5533 S HALSTED ST,0,20,ENGLEWOOD,B3-2,"(41.79294902, -87.64475709)"
20-20-202-003-0000,1053 W 63RD ST,0,16,ENGLEWOOD,C1-2,"(41.77938946, -87.6517128)"
20-16-403-032-0000,246 W 60TH ST,2500,20,ENGLEWOOD,RS-3,"(41.78558353, -87.63227264)"
20-16-315-101-0000,751 W 61ST ST,0,16,ENGLEWOOD,B2-2,"(41.78313315, -87.64417014)"
20-21-316-032-0000,6950 S WALLACE ST,0,6,ENGLEWOOD,RS-3,"(41.76748728, -87.63994461)"
20-20-225-038-0000,1122 W MARQUETTE RD,0,16,ENGLEWOOD,RS-3,"(41.77261432, -87.65284131)"
20-21-310-028-0000,6822 S NORMAL BLVD,0,6,ENGLEWOOD,RT-4,"(41.77013649, -87.63765713)"
20-21-325-005-0000,7016 S PARNELL AVE,2251,6,ENGLEWOOD,RT-4,"(41.76650856, -87.6387381)"
20-28-104-011-0000,7148 S PARNELL AVE,0,6,ENGLEWOOD,M1-2,"(41.76386784, -87.63863646)"
20-16-204-029-0000,5647 S WENTWORTH AVE,0,3,ENGLEWOOD,B3-1,"(41.79134442, -87.63010173)"
20-28-302-028-0000,7554 S LOWE AVE,0,6,ENGLEWOOD,POS-2,"(41.75635833, -87.64087732)"
20-21-326-020-0000,7008 S NORMAL BLVD,0,6,ENGLEWOOD,RT-4,"(41.76679639, -87.63753278)"
20-16-201-041-0000,5643 S SHIELDS AVE,0,3,ENGLEWOOD,RS-3,"(41.79141277, -87.63374145)"
20-17-418-041-0000,6150 S CARPENTER ST,0,16,ENGLEWOOD,RS-3,"(41.78178704, -87.6512657)"
20-17-428-024-0000,6216 S SANGAMON ST,0,16,ENGLEWOOD,RT-4,"(41.78057046, -87.6488011)"
20-28-301-031-0000,7546 S UNION AVE,0,6,ENGLEWOOD,RS-3,"(41.75658465, -87.64210392)"
20-16-415-005-0000,6109 S STEWART AVE,0,20,ENGLEWOOD,RS-3,"(41.78313508, -87.63475515)"
20-17-416-034-0000,6136 S MAY ST,0,16,ENGLEWOOD,RS-3,"(41.78212984, -87.6537043)"
20-17-423-071-0000,807 W 61ST ST,0,16,ENGLEWOOD,B2-2,"(41.78309076, -87.64519915)"
20-21-303-013-0000,6722 S PARNELL AVE,0,6,ENGLEWOOD,RT-4,"(41.77179141, -87.63908306)"
20-21-113-015-0000,6447 S NORMAL BLVD,0,20,ENGLEWOOD,RT-4,"(41.77668928, -87.637088)"
20-20-419-039-0000,6934 S MORGAN ST,0,6,ENGLEWOOD,RT-4,"(41.76767568, -87.64968407)"
20-16-101-052-0000,5600 S UNION AVE,0,20,ENGLEWOOD,RS-3,"(41.79237427, -87.64302519)"
20-17-415-035-0000,6039 S GREEN ST,0,16,ENGLEWOOD,RS-3,"(41.78405479, -87.64576096)"
20-16-300-003-0000,5905 S HALSTED ST,0,16,ENGLEWOOD,B2-2,"(41.78677556, -87.64461595)"
20-16-113-005-0000,5711 S EMERALD AVE,0,20,ENGLEWOOD,RS-3,"(41.79023438, -87.64348566)"
20-16-315-096-0000,6113 S HALSTED ST,0,16,ENGLEWOOD,B2-2,"(41.78297971, -87.64449705)"
20-16-116-034-0000,5720 S NORMAL BLVD,0,20,ENGLEWOOD,RS-3,"(41.79002063, -87.63806462)"
20-21-204-034-0000,6216 S STEWART AVE,0,20,ENGLEWOOD,RS-3,"(41.77729112, -87.63447845)"
20-16-311-003-0000,541 W 60TH ST,0,20,ENGLEWOOD,RS-3,"(41.78499403, -87.6392621)"
20-16-212-001-0000,5701 S WENTWORTH AVE,5432,20,ENGLEWOOD,C1-1,"(41.79060936, -87.63136783)"
20-20-413-002-0000,6805 S SANGAMON ST,4129,6,ENGLEWOOD,RS-3,"(41.77037252, -87.64783556)"
20-17-425-039-0000,1110 W 63RD ST,0,16,ENGLEWOOD,C1-2,"(41.77989866, -87.65263811)"
20-16-204-052-0000,5626 S LA SALLE ST,0,3,ENGLEWOOD,RS-3,"(41.79195931, -87.62959353)"
20-20-323-025-0000,6930 S RACINE AVE,0,6,WEST ENGLEWOOD,B1-1,"(41.76773756, -87.65453961)"
20-21-314-020-0000,718 W 70TH ST,0,6,ENGLEWOOD,RS-3,"(41.76719782, -87.64286925)"
20-16-100-027-0000,5633 S HALSTED ST,0,20,ENGLEWOOD,C1-2,"(41.79145164, -87.64471793)"
20-20-210-018-0000,6453 S ABERDEEN ST,0,16,ENGLEWOOD,RS-3,"(41.77626432, -87.65163909)"
20-17-424-034-0000,1150 W 63RD ST,0,16,ENGLEWOOD,C1-2,"(41.77972325, -87.65410811)"
20-16-300-048-0000,716 W 60TH ST,0,20,ENGLEWOOD,RS-3,"(41.78536156, -87.64329575)"
20-17-205-022-0000,5538 S PEORIA ST,0,16,ENGLEWOOD,RS-3,"(41.79272984, -87.64789675)"
20-16-204-032-0000,5655 S WENTWORTH AVE,3326,3,ENGLEWOOD,B3-1,"(41.79113096, -87.63009497)"
20-16-110-033-0000,520 W 57TH ST,0,20,ENGLEWOOD,RS-3,"(41.79103345, -87.6386587)"
20-17-418-021-0000,6143 S ABERDEEN ST,0,16,ENGLEWOOD,RS-3,"(41.7819853, -87.65178793)"
20-29-215-001-0000,7201 S GREEN ST,0,6,ENGLEWOOD,RS-3,"(41.7632112, -87.6452315)"
20-20-400-019-0000,6745 S RACINE AVE,3000,16,ENGLEWOOD,RS-3,"(41.77102572, -87.65393207)"
20-16-102-077-0000,5634 S LOWE AVE,0,20,ENGLEWOOD,RS-3,"(41.79151089, -87.64178545)"
20-29-212-031-0000,7212 S SANGAMON ST,3109,6,ENGLEWOOD,RS-3,"(41.76278579, -87.64834159)"
20-16-400-025-0000,312 W 59TH PL,4587,20,ENGLEWOOD,RS-3,"(41.78657216, -87.63339561)"
20-21-317-005-0000,6910 S PARNELL AVE,0,6,ENGLEWOOD,RT-4,"(41.76849778, -87.63879071)"
20-21-214-006-0000,6615 S STEWART AVE,0,6,ENGLEWOOD,RT-4,"(41.77389106, -87.63440024)"
20-17-414-035-0000,6030 S GREEN ST,0,16,ENGLEWOOD,PD 1206,"(41.78418317, -87.64646276)"
20-16-318-008-0000,725 W 61ST PL,0,16,ENGLEWOOD,RS-3,"(41.78225035, -87.64284304)"
20-21-114-017-0000,6449 S EGGLESTON AVE,0,20,ENGLEWOOD,RT-4,"(41.77655434, -87.6359331)"
20-17-401-033-0000,5922 S ABERDEEN ST,0,16,ENGLEWOOD,RS-3,"(41.78619668, -87.65259457)"
20-21-306-009-0000,6831 S HALSTED ST,0,6,ENGLEWOOD,B1-2,"(41.76971799, -87.64415157)"
20-17-423-055-0000,806 W 63RD ST,0,16,ENGLEWOOD,PD 1227,"(41.78252312, -87.64526916)"
20-29-114-048-0000,7200 S RACINE AVE,0,6,WEST ENGLEWOOD,B1-1,"(41.76310383, -87.65441839)"
20-17-418-003-0000,6033 S GREEN ST,0,16,ENGLEWOOD,RS-3,"(41.78302763, -87.6517796)"
20-20-426-038-0000,7048 S CARPENTER ST,0,6,ENGLEWOOD,RS-3,"(41.76550447, -87.65084288)"
20-28-110-028-0000,7226 S LOWE AVE,0,6,ENGLEWOOD,RT-4,"(41.76263762, -87.6404246)"
20-17-220-008-0000,5723 S MORGAN ST,3138,16,ENGLEWOOD,RS-3,"(41.78986444, -87.64955321)"
20-17-421-044-0000,6122 S PEORIA ST,0,16,ENGLEWOOD,PD 74,"(41.78265142, -87.64777344)"
20-16-217-002-0000,5803 S PRINCETON AVE,0,20,ENGLEWOOD,RS-3,"(41.78866185, -87.63249635)"
20-21-103-026-0000,627 W 64TH ST,0,20,ENGLEWOOD,PD 74,"(41.778226, -87.6423638)"
20-20-410-040-0000,1038 W 69TH ST,0,16,ENGLEWOOD,RS-3,"(41.76896873, -87.6509339)"
20-16-121-038-0000,712 W 59TH ST,0,20,ENGLEWOOD,RS-3,"(41.78731915, -87.64313494)"
20-16-317-035-0000,6122 S STEWART AVE,0,20,ENGLEWOOD,RS-3,"(41.78281932, -87.63543149)"
20-17-205-001-0000,925 W GARFIELD BLVD,4394,16,ENGLEWOOD,RT-4,"(41.79359764, -87.64861099)"
20-20-231-030-0000,6636 S HALSTED ST,0,6,ENGLEWOOD,B3-2,"(41.77320399, -87.64499298)"
20-17-408-045-0000,1140 W 61ST ST,0,16,ENGLEWOOD,RS-3,"(41.78351934, -87.65382075)"
20-16-400-003-0000,343 W 59TH ST,0,20,ENGLEWOOD,RS-3,"(41.78694223, -87.63458113)"
20-16-102-006-0000,655 W GARFIELD BLVD,0,20,ENGLEWOOD,RT-4,"(41.79378857, -87.64241429)"
20-20-420-002-0000,943 W 69TH ST,0,6,ENGLEWOOD,RM-5,"(41.76853205, -87.64879695)"
20-20-427-022-0000,7018 S MORGAN ST,0,6,ENGLEWOOD,RT-4,"(41.76632568, -87.64964945)"
20-17-225-024-0000,1120 W 59TH ST,0,16,ENGLEWOOD,RS-3,"(41.78717055, -87.65326935)"
20-29-220-006-0000,7315 S MORGAN ST,0,17,ENGLEWOOD,RS-3,"(41.76095934, -87.64880961)"
20-28-115-001-0000,7301 S UNION AVE,5000,6,ENGLEWOOD,RS-3,"(41.76146093, -87.64152974)"
20-20-418-016-0000,6937 S ABERDEEN ST,0,6,ENGLEWOOD,RS-3,"(41.76758243, -87.65141093)"
20-17-401-002-0000,1121 W 59TH ST,0,16,ENGLEWOOD,B3-1,"(41.78664597, -87.65321014)"
20-16-407-019-0000,328 W 60TH PL,0,20,ENGLEWOOD,RS-3,"(41.78474498, -87.63391873)"
20-21-411-016-0000,6947 S STEWART AVE,3300,6,ENGLEWOOD,RT-4,"(41.76758485, -87.6343583)"
20-16-324-034-0000,706 W 63RD ST,0,16,ENGLEWOOD,PD 74,"(41.78004426, -87.64260104)"
20-17-406-005-0000,5911 S PEORIA ST,0,16,ENGLEWOOD,RS-3,"(41.78660183, -87.64703876)"
20-16-204-014-0000,5611 S WENTWORTH AVE,0,3,ENGLEWOOD,B3-1,"(41.79242701, -87.63013041)"
20-16-300-011-0000,5928 S HALSTED ST,0,16,ENGLEWOOD,B2-2,"(41.78614099, -87.64509455)"
20-28-104-012-0000,7150 S PARNELL AVE,0,6,ENGLEWOOD,M1-2,"(41.7637901, -87.63842796)"
20-21-328-014-0000,7035 S EGGLESTON AVE,0,6,ENGLEWOOD,RT-4,"(41.76610388, -87.63559336)"
20-21-308-020-0000,6820 S LOWE AVE,0,6,ENGLEWOOD,RT-4,"(41.770017, -87.64062677)"
20-29-132-054-0000,7404 S RACINE AVE,3123,17,WEST ENGLEWOOD,B1-1,"(41.75930884, -87.65431992)"
20-20-204-037-0000,6352 S SANGAMON ST,0,16,ENGLEWOOD,RT-4,"(41.77814044, -87.64874017)"
20-20-402-007-0000,6719 S ABERDEEN ST,0,16,ENGLEWOOD,RS-3,"(41.77176612, -87.65152186)"
20-16-110-038-0000,5668 S NORMAL BLVD,0,20,ENGLEWOOD,RS-3,"(41.79110847, -87.63810003)"
20-21-308-003-0000,6811 S UNION AVE,0,6,ENGLEWOOD,RT-4,"(41.77028062, -87.64127901)"
20-16-300-076-0000,5920 S UNION AVE,0,20,ENGLEWOOD,RS-3,"(41.7863257, -87.64287429)"
20-21-105-009-0000,6331 S PARNELL AVE,0,20,ENGLEWOOD,RT-4,"(41.77892025, -87.63836287)"
20-21-216-013-0000,6647 S YALE AVE,0,6,ENGLEWOOD,RT-4,"(41.77313363, -87.63138765)"
20-17-423-075-0000,807 W 61ST ST,0,16,ENGLEWOOD,B2-2,"(41.78309076, -87.64519915)"
20-20-222-029-0000,6520 S GREEN ST,0,6,ENGLEWOOD,RS-3,"(41.77543485, -87.64624001)"
20-17-423-063-0000,805 W 63RD ST,0,20,ENGLEWOOD,C1-2,"(41.78229193, -87.64535249)"
20-21-306-010-0000,6833 S HALSTED ST,0,6,ENGLEWOOD,B1-2,"(41.76964939, -87.64414977)"
20-17-230-026-0000,856 W 59TH ST,0,16,ENGLEWOOD,C1-1,"(41.78725844, -87.6472397)"
20-17-202-020-0000,5516 S CARPENTER ST,0,16,ENGLEWOOD,RS-3,"(41.79327659, -87.65156392)"
20-16-112-018-0000,5700 S EMERALD AVE,6000,20,ENGLEWOOD,RS-3,"(41.79059413, -87.6439904)"
20-17-216-017-0000,5746 S MAY ST,3745,16,ENGLEWOOD,RS-3,"(41.78917478, -87.65388372)"
20-20-402-031-0000,6716 S CARPENTER ST,0,16,ENGLEWOOD,RS-3,"(41.77177368, -87.65100646)"
20-16-300-004-0000,5907 S HALSTED ST,0,16,ENGLEWOOD,B2-2,"(41.78670694, -87.64461419)"
20-16-111-001-0000,5655 S NORMAL BLVD,0,20,ENGLEWOOD,RS-3,"(41.79157795, -87.63743673)"
20-17-426-003-0000,6207 S ABERDEEN ST,0,16,ENGLEWOOD,RS-3,"(41.78118084, -87.65176717)"
20-16-219-021-0000,5817 S LA SALLE ST,0,20,ENGLEWOOD,RS-3,"(41.78837902, -87.62874627)"
20-21-317-011-0000,6938 S PARNELL AVE,0,6,ENGLEWOOD,RT-4,"(41.76781135, -87.63877256)"
20-28-107-001-0000,7101 S EGGLESTON AVE,0,6,ENGLEWOOD,RT-4,"(41.76525755, -87.63574601)"
20-17-211-024-0000,5600 S MORGAN ST,0,16,ENGLEWOOD,RS-3,"(41.79229039, -87.65031829)"
20-21-103-040-0000,516 W 63RD PL,0,20,ENGLEWOOD,PD 280,"(41.77860767, -87.64255711)"
20-28-106-020-0000,7114 S EGGLESTON AVE,0,6,ENGLEWOOD,RT-4,"(41.76479862, -87.63622175)"
20-20-418-038-0000,6940 S CARPENTER ST,0,6,ENGLEWOOD,RS-3,"(41.76752187, -87.65089548)"
20-17-406-006-0000,5913 S PEORIA ST,0,16,ENGLEWOOD,RS-3,"(41.78653282, -87.64703674)"
20-16-300-030-0000,5924 S EMERALD AVE,0,16,ENGLEWOOD,RS-3,"(41.78623583, -87.64410394)"
20-20-417-029-0000,6918 S ABERDEEN ST,0,6,ENGLEWOOD,RS-3,"(41.76811866, -87.65212273)"
20-21-324-016-0000,620 W 71ST ST,5862,6,ENGLEWOOD,RS-3,"(41.76548602, -87.64051211)"
20-20-201-051-0000,6316 S ABERDEEN ST,0,16,ENGLEWOOD,RS-3,"(41.77905898, -87.65255839)"
20-28-106-001-0000,7101 S NORMAL BLVD,0,6,ENGLEWOOD,RT-4,"(41.76523842, -87.63696376)"
20-17-417-038-0000,6154 S ABERDEEN ST,0,16,ENGLEWOOD,RS-3,"(41.78165595, -87.65247867)"
20-16-209-013-0000,332 W 58TH ST,0,20,ENGLEWOOD,RS-3,"(41.7891005, -87.63418183)"
20-16-101-025-0000,5621 S EMERALD AVE,0,20,ENGLEWOOD,RS-3,"(41.79184919, -87.64353041)"
20-16-122-029-0000,5846 S LOWE AVE,0,20,ENGLEWOOD,RS-3,"(41.78752881, -87.64168306)"
20-16-209-015-0000,326 W 58TH ST,0,20,ENGLEWOOD,RS-3,"(41.7891039, -87.63399786)"
20-28-302-025-0000,7544 S LOWE AVE,0,6,ENGLEWOOD,POS-2,"(41.75660522, -87.64088375)"
20-21-125-005-0000,659 W 66TH ST,0,6,ENGLEWOOD,RT-4,"(41.77402845, -87.64200315)"
20-16-126-004-0000,513 W 58TH PL,0,20,ENGLEWOOD,M1-2,"(41.78872758, -87.63850474)"
20-16-111-010-0000,431 W 56TH PL,0,20,ENGLEWOOD,RS-3,"(41.7914585, -87.63671806)"
20-20-211-023-0000,6500 S MAY ST,0,16,ENGLEWOOD,RS-3,"(41.77614818, -87.65042012)"
20-17-231-018-0000,816 W 59TH ST,0,16,ENGLEWOOD,C1-1,"(41.78727989, -87.64579392)"
20-16-107-036-0000,422 W TREMONT ST,0,20,ENGLEWOOD,RS-3,"(41.79241981, -87.63646019)"
20-16-219-008-0000,5757 S LA SALLE ST,0,20,ENGLEWOOD,RS-3,"(41.78927022, -87.62879652)"
20-20-220-004-0000,6509 S MORGAN ST,0,6,ENGLEWOOD,RS-3,"(41.77571854, -87.64918968)"
20-17-214-002-0000,5605 S PEORIA ST,0,20,ENGLEWOOD,RS-3,"(41.79221833, -87.64718411)"
20-29-219-031-0000,7348 S MORGAN ST,0,17,ENGLEWOOD,RS-3,"(41.76005884, -87.64948498)"
20-17-408-040-0000,1152 W 61ST ST,0,16,ENGLEWOOD,RS-3,"(41.78351324, -87.6542608)"
20-16-200-006-0000,5525 S STEWART AVE,0,20,ENGLEWOOD,RS-3,"(41.79360919, -87.63496127)"
20-29-216-011-0000,7329 S RACINE AVE,0,17,ENGLEWOOD,B1-1,"(41.76054559, -87.65365403)"
20-20-402-009-0000,6723 S ABERDEEN ST,0,16,ENGLEWOOD,RS-3,"(41.77162887, -87.65151826)"
20-21-400-010-0000,333 W MARQUETTE RD,0,6,ENGLEWOOD,RT-4,"(41.77232665, -87.63366513)"
20-16-312-036-0000,402 W 60TH PL,0,20,ENGLEWOOD,RS-3,"(41.78467806, -87.6354876)"
20-20-411-021-0000,1027 W 69TH ST,0,6,ENGLEWOOD,RS-3,"(41.76863885, -87.6505087)"
20-17-408-034-0000,6036 S MAY ST,0,16,ENGLEWOOD,RS-3,"(41.78397801, -87.65375053)"
20-21-326-035-0000,7056 S NORMAL BLVD,0,6,ENGLEWOOD,RT-4,"(41.76545811, -87.63749735)"
20-21-116-029-0000,6526 S UNION AVE,0,20,ENGLEWOOD,RT-4,"(41.77529763, -87.64297675)"
20-16-304-028-0000,5916 S NORMAL BLVD,0,20,ENGLEWOOD,RS-3,"(41.78656241, -87.63800519)"
20-20-204-030-0000,6332 S SANGAMON ST,0,16,ENGLEWOOD,RT-4,"(41.77871669, -87.64875629)"
20-17-406-035-0000,5930 S GREEN ST,0,16,ENGLEWOOD,RS-3,"(41.78605511, -87.64651081)"
20-17-426-020-0000,6206 S CARPENTER ST,0,16,ENGLEWOOD,RS-3,"(41.78119251, -87.65125078)"
20-17-415-009-0000,6035 S GREEN ST,0,16,ENGLEWOOD,RS-3,"(41.78413807, -87.64596381)"
20-28-110-030-0000,7230 S LOWE AVE,3875,6,ENGLEWOOD,RT-4,"(41.76250048, -87.6404214)"
